Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6
FMCK Skövde,2023,57,Motion 40-49,941,Lars-Olof Lindström,FMCK Borås,4,03:36.4,17:24.2,16:17.7,14:27.5,15:26.9,,
FMCK Skövde,2023,58,Motion 40-49,976,Joakim Ericsson,Töreboda MK,4,03:41.7,17:38.1,17:35.1,14:01.5,14:26.8,,
FMCK Skövde,2023,59,Motion -39,559,Jesper Herngren,Falköpings MK,4,03:48.6,17:30.6,16:38.3,14:23.5,15:16.1,,
FMCK Skövde,2023,60,Motion -39,613,Erik Isaksson,Tranås MS,4,04:03.6,18:17.2,16:12.6,15:04.5,14:29.2,,
FMCK Skövde,2023,61,Motion 40-49,943,Anton Gustavsson,Mariestads EK,4,04:05.7,17:41.0,16:36.3,15:15.3,14:32.8,,
FMCK Skövde,2023,62,Ungdom E1,183,Mille Söderblom,Hallsbergs MK,4,04:08.2,18:42.7,16:27.2,15:51.3,13:06.8,,
FMCK Skövde,2023,63,Motion -39,591,Thim Svensson,Vissefjärda EK,4,04:09.2,18:48.1,16:09.0,14:37.6,14:34.4,,
FMCK Skövde,2023,64,Motion 40-49,907,Jonas Milefors,Kortedala MK,4,04:13.3,18:08.8,16:13.8,14:36.5,15:14.1,,
FMCK Skövde,2023,65,Motion 40-49,904,Henrik Lindström,FMCK Borås,4,04:16.6,17:36.7,17:38.3,14:25.2,14:36.1,,
FMCK Skövde,2023,66,Motion 40-49,917,Tomas Blom,Hallsbergs MK,4,04:16.9,17:54.6,16:14.5,14:27.0,15:40.7,,
FMCK Skövde,2023,67,Motion -39,528,Hugo Lindström,FMCK Borås,4,04:21.8,17:29.2,17:32.0,15:14.7,14:05.7,,
FMCK Skövde,2023,68,Motion -39,569,Christoffer Jonasson,SMC,4,04:30.4,18:17.0,16:20.9,15:23.0,14:29.3,,
FMCK Skövde,2023,69,Motion 40-49,947,Magnus Enander,Ulricehamns MK,4,04:37.3,17:55.9,16:44.1,14:53.5,15:03.6,,
FMCK Skövde,2023,70,Motion 40-49,910,Per Eriksson,Hallsbergs MK,4,04:40.4,18:05.6,16:26.1,14:26.7,15:41.7,,
FMCK Skövde,2023,71,Motion -39,562,Johan Hedström,Kinds MK,4,04:41.6,18:00.4,16:34.4,14:56.8,15:09.9,,
FMCK Skövde,2023,72,Motion -39,588,Andreas Andersson,Kullings MS,4,04:43.8,17:24.1,16:59.1,15:01.1,15:19.4,,
FMCK Skövde,2023,73,Motion 40-49,981,Patrick Wik,Skene MS,4,04:48.2,18:32.4,16:24.5,14:44.0,15:07.1,,
FMCK Skövde,2023,74,Motion -39,556,Tommy Gustafsson,Huskvarna MK,4,04:48.7,18:58.0,16:11.9,15:05.6,14:33.1,,
FMCK Skövde,2023,75,Motion 40-49,990,Johan Kjellson,FMCK Skövde,4,05:00.9,18:33.8,16:23.0,14:55.1,15:08.8,,
FMCK Skövde,2023,76,Motion -39,516,Dennis Ring,FMCK Borås,4,05:13.0,18:17.0,16:27.2,14:20.5,16:08.1,,
FMCK Skövde,2023,77,Motion -39,555,Dennis Hörberg,Norrahammars MK,4,05:15.8,18:49.8,16:31.1,14:33.8,15:20.8,,
FMCK Skövde,2023,78,Motion -39,541,Patric Gustafsson,Huskvarna MK,4,05:17.7,19:12.2,16:16.5,14:47.0,15:01.8,,
FMCK Skövde,2023,79,Ungdom E1,145,Wilmer Jansson,Tidaholms MK,4,05:23.3,17:29.5,17:09.1,14:47.0,15:57.5,,
FMCK Skövde,2023,80,Motion -39,811,Björn Axelsson,FMCK Skövde,4,05:28.5,19:19.3,17:18.8,14:33.4,14:17.0,,
FMCK Skövde,2023,81,Motion -39,535,Johan Andersson,SMK Östgöta,4,05:30.8,17:22.7,17:32.7,15:00.8,15:34.3,,
FMCK Skövde,2023,82,Motion 40-49,935,Stefan Andersson,Lilla Edets MCK,4,05:31.7,18:14.4,16:54.3,14:12.0,16:10.8,,
FMCK Skövde,2023,83,Motion -39,504,Christer Strand,Tibro MK,4,05:32.5,19:00.4,16:39.5,14:59.1,14:53.4,,
FMCK Skövde,2023,84,Motion -39,799,Patrik Förkrök Ledström,SMK Vadstena,4,05:41.6,17:40.0,18:41.7,14:39.9,14:39.9,,
FMCK Skövde,2023,85,Motion 40-49,932,Niklas Utterberg,Norrahammars MK,4,05:48.4,18:17.1,17:08.7,15:06.3,15:16.1,,
FMCK Skövde,2023,86,Motion -39,711,Andreas Breitfeld,Kungsbacka MA,4,05:53.5,18:11.6,17:21.0,15:29.3,14:51.5,,
FMCK Skövde,2023,87,Ungdom E1,194,Edwin Djurstedt,Djursdala SK,4,05:58.6,18:35.5,16:36.1,14:17.9,16:29.0,,
FMCK Skövde,2023,88,Motion -39,558,Albin Strandhag,FMCK Skövde,4,05:59.2,18:30.1,17:02.3,15:28.3,14:58.3,,
FMCK Skövde,2023,89,Motion 40-49,946,Andreas Jorlöv,Kullings MS,4,06:10.5,18:26.2,16:54.8,15:37.1,15:12.3,,
FMCK Skövde,2023,90,Motion -39,543,Axel Gustafsson,Lidköpings MCK,4,06:23.5,19:35.8,17:21.0,14:40.1,14:46.5,,
FMCK Skövde,2023,91,Motion 40-49,950,Johan Elfving,Ulricehamns MK,4,06:39.2,17:58.3,17:21.3,14:58.4,16:21.1,,
FMCK Skövde,2023,92,Motion -39,550,Eric Gustafsson,SMK Vingåker,4,06:42.4,17:49.0,16:35.8,16:51.1,15:26.4,,
FMCK Skövde,2023,93,Motion -39,544,Anton Isaksson,Götene MK,4,06:44.4,19:31.2,17:16.7,14:46.9,15:09.5,,
FMCK Skövde,2023,94,Motion 40-49,963,Ronny Larsen,Flittig MX/ATV,4,06:50.0,18:38.4,17:16.0,15:28.2,15:27.3,,
FMCK Skövde,2023,95,Ungdom E1,112,Edvin Kindgren,SMK Eksjö,4,06:57.0,19:02.5,17:48.3,15:18.2,14:47.9,,
FMCK Skövde,2023,96,Motion -39,510,Simon Öberg,Norrahammars MK,4,07:03.5,19:12.9,17:20.7,14:49.9,15:39.9,,
FMCK Skövde,2023,97,Motion 40-49,955,Henrik Nilsson,Mariestads EK,4,07:25.1,19:08.0,16:40.1,14:54.3,16:42.6,,
FMCK Skövde,2023,98,Motion -39,545,Grim Fallenius,Götene MK,4,07:28.9,19:06.0,16:53.5,15:58.2,15:31.0,,
FMCK Skövde,2023,99,Motion -39,598,Aron Goes,Kortedala MK,4,07:30.1,18:17.5,17:46.8,16:00.5,15:25.2,,
FMCK Skövde,2023,100,Motion -39,517,Simon Gustafsson,Älvbygdens MK,4,07:40.7,18:37.6,17:55.8,16:00.3,15:06.8,,
FMCK Skövde,2023,101,Motion 40-49,930,Jonas Lyttbacka,Örebro EK,4,07:42.9,18:39.9,17:20.8,15:48.6,15:53.4,,
FMCK Skövde,2023,102,Motion -39,617,David Gustafsson,Försvarsmaktens EK,4,07:51.7,18:39.0,17:15.1,15:35.2,16:22.3,,
FMCK Skövde,2023,103,Motion -39,502,Johan Svensson,Falköpings MK,4,07:56.4,18:22.9,16:49.5,15:48.6,16:55.2,,
FMCK Skövde,2023,104,Motion -39,525,Hans Palm,Norrahammars MK,4,08:01.8,18:56.5,17:33.3,16:21.1,15:10.8,,
FMCK Skövde,2023,105,Motion -39,529,Jacob Emilsson,Kristdala Motorsällskap,4,08:12.3,18:49.5,16:39.7,15:39.9,17:03.0,,
FMCK Skövde,2023,106,Motion -39,669,Albin Johansson,Lidköpings MCK,4,08:12.5,20:08.5,16:44.8,15:07.6,16:11.5,,
FMCK Skövde,2023,107,Motion 40-49,937,Henrik Olsson,Falköpings MK,4,08:26.0,19:05.5,17:37.1,15:54.0,15:49.4,,
FMCK Skövde,2023,108,Motion 40-49,988,Martin Bonander,Stenungsunds MS,4,08:38.5,18:46.6,19:18.3,15:32.3,15:01.1,,
FMCK Skövde,2023,109,Motion -39,667,Philip Baumgartner,Götene MK,4,08:56.6,19:54.9,16:42.2,16:22.4,15:56.9,,
FMCK Skövde,2023,110,Motion 40-49,980,Niclas Sjökvist,FMCK Borås,4,08:59.4,18:23.5,17:07.9,17:07.4,16:20.4,,
FMCK Skövde,2023,111,Motion 40-49,915,Martin Jonsson,Töreboda MK,4,09:17.3,19:47.7,17:08.9,16:34.0,15:46.6,,
FMCK Skövde,2023,112,Motion 40-49,974,Ulric Karlsson,Tidaholms MK,4,09:29.4,19:22.3,17:49.7,16:09.0,16:08.3,,
FMCK Skövde,2023,113,Motion 40-49,951,Jonas Eriksson,Mariestads EK,4,09:37.3,19:32.9,17:24.8,16:22.2,16:17.4,,
FMCK Skövde,2023,114,Motion 40-49,938,Björn Jorlöv,Kullings MS,4,09:45.4,19:21.2,19:22.5,15:26.1,15:35.4,,
FMCK Skövde,2023,115,Motion 40-49,912,Peter Berggren,BMK Uddevalla,4,10:11.6,19:02.1,17:39.3,16:32.1,16:58.0,,
FMCK Skövde,2023,116,Motion -39,511,Oliver Wennerholm,FMCK Borås,4,10:19.5,18:48.1,20:40.9,15:10.6,15:39.8,,
FMCK Skövde,2023,117,Motion -39,699,Anton Johansson,FMCK Borås,4,10:20.8,18:14.0,17:32.6,16:13.7,18:20.3,,
FMCK Skövde,2023,118,Motion -39,534,Richard Mickelsson,Tibro MK,4,10:33.2,18:50.1,18:14.1,16:34.4,16:54.5,,
FMCK Skövde,2023,119,Motion -39,523,Rasmus Bengt Olof Malmborg,Björkö EK,4,10:46.9,19:11.6,18:01.3,14:51.5,18:42.3,,
FMCK Skövde,2023,120,Motion 40-49,956,Tommy Jonsson,Mariestads EK,4,11:12.6,21:16.5,18:09.6,16:14.9,15:31.5,,
FMCK Skövde,2023,121,Motion 40-49,919,Robert Ahlin,Falköpings MK,4,12:21.4,19:50.1,19:52.1,15:41.1,16:57.9,,
FMCK Skövde,2023,122,Motion -39,538,Rasmus Hansson,Skene MS,4,12:24.3,22:52.0,16:47.9,16:24.9,16:19.3,,
FMCK Skövde,2023,123,Motion 40-49,975,Hannu Ylipekkala,Anderstorp RC,4,12:28.7,20:26.8,18:18.3,16:18.2,17:25.3,,
FMCK Skövde,2023,124,Motion 40-49,983,Magnus Lilja,Älvbygdens MK,4,14:01.1,18:56.9,19:15.4,17:23.1,18:25.6,,
FMCK Skövde,2023,125,Motion 40-49,906,Anders Billestedt Andersson,Stenungsunds MS,4,14:08.0,19:14.3,20:09.6,17:42.6,17:01.3,,
FMCK Skövde,2023,126,Motion -39,508,Maria Thomsen,FMCK Borås,4,14:09.3,19:52.8,18:59.9,17:44.5,17:32.0,,
FMCK Skövde,2023,127,Motion -39,549,Rasmus Levén,Bodafors MK,4,14:52.0,19:02.3,19:28.3,18:06.9,18:14.4,,
FMCK Skövde,2023,128,Ungdom E1,125,Wiggo Hansson,Tidaholms MK,4,15:21.1,21:50.5,16:02.2,18:28.2,19:00.1,,
FMCK Skövde,2023,129,Motion 40-49,999,Johan Törnqvist,FMCK Skövde,4,15:25.3,21:10.0,18:26.3,18:08.8,17:40.1,,
FMCK Skövde,2023,130,Ungdom E1,111,Anton Andersson,Norrahammars MK,4,17:38.2,24:41.5,19:24.5,16:05.4,17:26.8,,
FMCK Skövde,2023,131,Motion 40-49,914,Emil Kårlin,Lilla Edets MCK,4,17:41.6,20:11.2,19:50.4,19:29.2,18:10.7,,
FMCK Skövde,2023,132,Motion 40-49,954,Christian Appelgren,Stenungsunds MS,4,18:25.3,19:03.0,18:40.5,20:28.4,20:13.2,,
FMCK Skövde,2023,133,Ungdom E1,115,Simon Rutgersson,Stenungsunds MS,4,19:42.9,23:28.0,20:28.9,18:13.3,17:32.6,,
FMCK Skövde,2023,134,Motion -39,503,Rickard Forsberg,Mariestads EK,4,27:00.3,26:38.3,21:21.3,18:49.4,20:11.1,,
FMCK Skövde,2023,135,Ungdom E1,124,Sam Aronsson,Töreboda MK,4,29:33.2,29:25.3,20:21.6,20:26.8,19:19.4,,
FMCK Skövde,2023,136,Motion 40-49,902,Andreas Sandberg,FMCK Borås,4,34:33.1,25:07.5,22:55.5,20:51.4,25:38.5,,
FMCK Skövde,2023,137,Motion -39,594,OkAnton Torgin,Donkelo RK,3,03:57.6,25:16.2,20:08.0,18:33.2,,,
FMCK Skövde,2023,138,Motion -39,590,Tobias Hagelin,FMCK Borås,3,06:19.0,23:55.7,21:47.2,20:35.9,,,
FMCK Skövde,2023,139,Motion 40-49,920,Christoffer Johnsson,Hisingens MK,2,37:06.5,18:23.3,18:43.1,,,,
FMCK Skövde,2023,140,Motion -39,532,OKJohan Lindgren,Tranemo MK,2,40:20.8,19:55.1,20:25.7,,,,
FMCK Skövde,2023,141,Motion -39,631,Dennis Olesen,Kullings MS,1,17:36.8,17:36.8,,,,,
FMCK Skövde,2023,142,Motion -39,610,David Hörberg,Försvarsmaktens EK,1,18:20.9,18:20.9,,,,,
FMCK Skövde,2023,143,Ungdom E1,198,Jacob Stacke,SMK Värnamo,1,22:25.7,22:25.7,,,,,
FMCK Skövde,2023,144,Motion -39,632,Viktor Hultman,Mariestads EK,0,00:00.0,,,,,,
FMCK Skövde,2023,1,Motion 50-59,1222,Klas Elofsson,Skene MS,4,47:33.9,11:20.0,12:04.1,11:28.2,12:41.6,,
FMCK Skövde,2023,2,Motion 50-59,1244,Robert Salomonsson,Tibro MK,4,47:48.1,11:22.0,12:19.8,11:30.5,12:35.6,,
FMCK Skövde,2023,3,Ungdom E0,1,Hampus Andersson,Tibro MK,4,48:12.8,11:52.5,11:57.7,11:43.1,12:39.3,,
FMCK Skövde,2023,4,Motion 50-59,1248,Jonas Johansson,FMCK Borås,4,48:21.5,11:24.8,12:09.1,12:03.2,12:44.2,,
FMCK Skövde,2023,5,Motion 50-59,1214,Stefan Andersson,SMK Trollhättan,4,50:07.5,11:59.9,12:39.2,12:18.0,13:10.4,,
FMCK Skövde,2023,6,Motion 50-59,1280,Pelle Persson,Falköpings MK,4,50:55.5,12:46.7,12:50.6,12:06.6,13:11.5,,
FMCK Skövde,2023,7,Motion 50-59,1310,Richard Karlsson,Götene MK,4,51:11.3,12:59.4,12:56.8,12:27.7,12:47.2,,
FMCK Skövde,2023,8,Ungdom E0,89,Hjalmar Johansson,SMK Eksjö,4,51:29.0,12:41.5,12:56.6,12:10.5,13:40.3,,
FMCK Skövde,2023,9,Motion 50-59,1300,Christian Hagberg,FMCK Borås,4,51:34.6,12:20.0,12:45.6,12:31.5,13:57.4,,
FMCK Skövde,2023,10,Motion 50-59,1210,Lars Arvidsson,Kullings MS,4,51:42.2,12:46.6,12:52.8,12:37.8,13:25.0,,
FMCK Skövde,2023,11,Motion 60-,1521,Mikael Persson,Töreboda MK,4,51:47.2,12:38.0,13:00.9,12:33.1,13:35.0,,
FMCK Skövde,2023,12,Motion 50-59,1299,Magnus Lundén,Wäxjö MS,4,52:32.6,12:53.4,13:11.7,12:48.6,13:38.8,,
FMCK Skövde,2023,13,Ungdom E0,57,Filip Wahlström,Hallsbergs MK,4,52:33.8,13:27.2,13:01.7,12:35.3,13:29.4,,
FMCK Skövde,2023,14,Motion 50-59,1321,Michael Larsson,SMK Värnamo,4,52:45.4,12:46.3,13:15.0,12:56.3,13:47.7,,
FMCK Skövde,2023,15,Motion 50-59,1225,Joakim Holm,FMCK Skövde,4,53:33.2,13:13.2,13:26.3,12:48.5,14:05.0,,
FMCK Skövde,2023,16,Motion 50-59,1267,Tommi Ragnarsson,Skene MS,4,53:52.9,12:59.9,13:20.2,13:49.6,13:43.0,,
FMCK Skövde,2023,17,Ungdom E0,7,Leo Klasson,Tibro MK,4,54:03.1,14:03.6,13:32.9,13:08.6,13:17.8,,
FMCK Skövde,2023,18,Motion 50-59,1205,Peter Björnqvist,FMCK Borås,4,54:08.7,13:12.8,13:25.5,13:24.1,14:06.2,,
FMCK Skövde,2023,19,Motion 50-59,1232,Marcus Lind,Tidaholms MK,4,54:09.0,12:57.1,13:22.4,13:28.5,14:20.8,,
FMCK Skövde,2023,20,Ungdom E0,6,Olle Persson,Hallsbergs MK,4,54:11.5,14:20.2,13:28.6,13:05.0,13:17.6,,
FMCK Skövde,2023,21,Motion 50-59,1203,Peter Appelqvist,Kortedala MK,4,54:36.8,13:44.5,13:55.7,13:12.6,13:43.8,,
FMCK Skövde,2023,22,Motion 50-59,1245,Tony Larsson,FMCK Borås,4,54:56.8,13:26.0,13:35.4,13:47.2,14:08.1,,
FMCK Skövde,2023,23,Motion 50-59,1237,Jan Wester,FMCK Skövde,4,55:15.5,13:17.0,13:48.0,13:20.3,14:50.1,,
FMCK Skövde,2023,24,Motion 50-59,1227,Anders Roth,Kristdala Motorsällskap,4,55:21.8,13:46.0,13:46.7,13:32.7,14:16.2,,
FMCK Skövde,2023,25,Motion 50-59,1239,Henric Björk,FMCK Borås,4,55:23.8,12:57.4,13:48.8,14:09.0,14:28.5,,
FMCK Skövde,2023,26,Motion 50-59,1228,Jerker Svantesson,Kullings MS,4,55:25.1,13:11.3,13:56.7,13:54.6,14:22.5,,
FMCK Skövde,2023,27,Motion 50-59,1255,Jimmy Kaukinen,Wäxjö MS,4,55:37.7,14:26.1,14:09.3,13:13.7,13:48.5,,
FMCK Skövde,2023,28,Motion 50-59,1218,Johan Karlsson,Götene MK,4,55:39.4,13:51.0,13:34.1,14:03.0,14:11.1,,
FMCK Skövde,2023,29,Motion 60-,1561,Jan-Olof Wallskog,Töreboda MK,4,55:43.6,13:39.2,14:02.8,13:32.0,14:29.4,,
FMCK Skövde,2023,30,Motion 50-59,1206,Christer Hedihn,FMCK Borås,4,56:04.1,13:05.7,13:51.1,14:08.0,14:59.2,,
FMCK Skövde,2023,31,Motion 50-59,1373,Jimmy Johansson,Tranås MS,4,56:06.6,13:31.6,14:15.5,13:39.9,14:39.4,,
FMCK Skövde,2023,32,Ungdom E0,19,Douglas Sjöblom,SMK Värnamo,4,56:06.9,13:36.7,13:20.8,14:00.6,15:08.6,,
FMCK Skövde,2023,33,Ungdom E0,92,Algot Hessel,Tidaholms MK,4,57:13.7,14:51.3,14:01.7,14:08.7,14:11.9,,
FMCK Skövde,2023,34,Motion 50-59,1209,Roger Ottosson,Vimmerby MS,4,57:23.4,14:48.1,13:55.1,14:02.7,14:37.3,,
FMCK Skövde,2023,35,Motion 50-59,1263,Magnus Ragnarsson,Skene MS,4,57:23.8,14:10.8,14:40.5,14:18.3,14:14.0,,
FMCK Skövde,2023,36,Motion 50-59,1217,Tomas Karlsson,Skene MS,4,57:51.2,14:05.9,14:35.9,14:11.1,14:58.2,,
FMCK Skövde,2023,37,Motion 60-,1503,Roger Jakobsson,Kullings MS,4,57:51.7,14:07.1,14:38.8,14:05.8,14:59.8,,
FMCK Skövde,2023,38,Motion 60-,1517,Peter Elofsson,Skene MS,4,57:51.9,14:10.1,14:06.5,14:01.0,15:34.2,,
FMCK Skövde,2023,39,Motion 50-59,1257,Kenneth Zimmerblad,Skene MS,4,57:56.3,13:56.4,14:36.9,14:33.4,14:49.5,,
FMCK Skövde,2023,40,Motion 60-,1520,Anders Johansson,MCK Hallandia,4,58:01.2,14:21.1,14:40.5,13:57.7,15:01.7,,
FMCK Skövde,2023,41,Ungdom E0,3,William Marcher,Hallsbergs MK,4,58:08.4,15:10.1,14:34.7,13:39.8,14:43.7,,
