Falköpings MK
Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
23,Motion -39,513,Joacim Wigertson,Kullings MS,KTM,7:48.6  10:44.5  7:51.7  10:41.3  7:55.8  10:50.3  8:04.1  ,7,03:56.6
24,Motion 40-49,994,Mikael Bengtsson,Falköpings MK,Husqvarna,7:54.3  10:30.3  7:52.9  10:47.6  7:59.2  10:51.9  8:12.1  ,7,04:08.7
25,Motion 40-49,1015,Tommy Andersson,Götene MK,KTM,7:36.7  10:24.9  7:48.1  10:51.6  8:00.1  11:15.2  8:22.0  ,7,04:19.0
26,Motion 40-49,944,Niklas Strömberg,Götene MK,Honda,7:29.1  10:49.0  7:58.2  10:45.5  8:07.1  11:06.4  8:11.0  ,7,04:26.7
27,Motion -39,524,Marcus Hjelm,Falköpings MK,Kawasaki,7:35.7  10:32.7  7:56.9  11:05.5  8:07.8  11:02.0  8:10.9  ,7,04:31.8
28,Motion -39,527,George Svantesson,Kullings MS,KTM,7:41.3  10:55.7  8:07.5  10:44.6  7:50.2  10:57.3  8:15.9  ,7,04:32.8
29,Ungdom E1,170,Maximillian Fridérus,Ulricehamns MK,KTM,8:10.3  11:04.1  7:58.5  10:40.7  8:14.0  10:44.5  8:02.1  ,7,04:54.5
30,Ungdom E1,151,Liam Nilsson,FMCK Skövde,Husqvarna,8:05.1  10:27.3  7:46.0  10:53.7  7:59.5  11:29.0  8:16.2  ,7,04:57.0
31,Ungdom E1,177,Max Karlsson,Stenungsunds MS,Yamaha,7:51.9  10:46.6  8:01.3  10:53.2  8:11.2  11:12.9  8:11.9  ,7,05:09.2
32,Motion -39,729,Gustav Malm,Hallsbergs MK,Husqvarna / Team Marin & Fritid,8:13.1  10:55.5  8:07.6  10:50.6  8:21.8  10:53.6  8:11.1  ,7,05:33.5
33,Motion -39,551,Melker Svantesson,Kullings MS,KTM,7:47.7  10:49.2  8:10.5  11:04.3  8:09.8  11:02.1  8:37.0  ,7,05:40.8
34,Motion -39,639,Melker Jansson,Karlskoga EK,KTM,8:05.8  11:13.8  8:25.9  10:50.2  8:05.2  10:55.1  8:11.5  ,7,05:47.8
35,Motion -39,526,Simon Henriksson,Lilla Edets MCK,KTM,8:09.4  11:05.6  8:08.5  11:00.0  8:12.6  10:53.5  8:19.8  ,7,05:49.8
36,Motion -39,574,Andreas Nordström,Eds-Skottbacka MX Förening,KTM,8:03.0  11:07.2  8:09.3  10:52.3  8:06.9  10:48.2  8:50.8  ,7,05:58.1
37,Motion -39,720,Fredrik Starck,Wäxjö MS,KTM,7:29.1  10:39.4  8:05.9  11:44.2  8:20.3  11:07.6  8:31.7  ,7,05:58.5
38,Motion 40-49,964,Andreas Remfäldt,Mariestads EK,KTM,8:01.4  10:50.6  8:36.3  11:15.4  8:25.1  11:05.6  8:20.9  ,7,06:35.5
39,Motion -39,509,Jonathan Storm,Kortedala MK,KTM,8:04.8  11:07.4  8:14.9  11:21.1  8:23.2  11:11.4  8:18.9  ,7,06:41.9
40,Motion 40-49,995,Oddbjørn Sandvik,Flittig Enduro,KTM,8:22.5  11:01.1  8:13.0  11:02.2  8:24.0  11:03.4  8:41.6  ,7,06:48.1
41,Motion -39,530,Patrik Olsson,Lilla Edets MCK,Beta,8:07.4  11:10.7  8:21.0  11:09.6  8:28.5  11:16.0  8:28.5  ,7,07:02.1
42,Motion -39,580,Albin Pettersson,Kristdala Motorsällskap,KTM / Ostkustmx Racing Team,8:16.3  11:02.8  8:23.9  11:14.0  8:32.8  11:26.4  8:34.4  ,7,07:30.9
43,Motion 40-49,920,Christoffer Johnsson,Hisingens MK,Sherco,8:09.0  11:01.7  8:23.7  11:30.9  8:30.3  11:29.6  8:26.2  ,7,07:31.7
44,Motion 40-49,976,Joakim Ericsson,Töreboda MK,KTM,8:14.9  11:11.5  8:15.9  11:21.7  8:26.7  11:25.1  8:39.5  ,7,07:35.7
45,Motion 40-49,997,Robert Strandberg,Hjo MK,Yamaha,8:27.8  11:10.8  8:24.4  11:19.3  8:31.6  11:18.7  8:27.7  ,7,07:40.6
46,Motion 40-49,901,Mattias Eriksson,Varbergs MK,Sherco,8:29.4  11:04.3  8:17.3  11:10.4  8:30.9  11:35.2  8:36.6  ,7,07:44.6
47,Motion 40-49,1023,Fredrik Kron,Falköpings MK,KTM,8:12.4  11:16.3  8:11.7  11:30.2  8:35.1  11:30.8  8:31.4  ,7,07:48.2
48,Motion -39,537,Emil Meijer,Götene MK,Yamaha,8:08.2  11:03.5  8:20.5  11:33.6  8:33.6  11:33.5  8:37.1  ,7,07:50.2
49,Motion -39,572,Axel Karlsson,Laxå MK,KTM,8:29.3  11:00.4  8:41.2  11:11.0  8:34.1  11:19.7  8:34.6  ,7,07:50.6
50,Motion 40-49,986,Rikard Skerget,Stenungsunds MS,KTM,8:18.5  11:14.3  8:25.6  11:12.0  8:34.6  11:27.3  8:41.1  ,7,07:53.6
51,Motion -39,799,Patrik Förkrök Ledström,SMK Vadstena,KTM,8:37.7  11:15.9  8:24.3  11:11.4  8:27.3  11:20.1  8:42.1  ,7,07:59.2
52,Motion -39,631,Dennis Olesen,Kullings MS,KTM,8:14.5  11:02.9  8:13.0  11:20.3  8:39.5  11:32.7  9:00.9  ,7,08:04.1
53,Motion 40-49,961,Daniel Lundqvist,Töreboda MK,Husqvarna,8:04.0  11:17.3  8:27.8  11:22.9  8:38.4  11:41.7  8:44.5  ,7,08:16.9
54,Motion 40-49,941,Lars-Olof Lindström,FMCK Borås,KTM,8:24.6  11:19.1  8:26.4  11:32.1  8:28.7  11:39.5  8:28.5  ,7,08:19.2
55,Motion 40-49,989,Fredrik Sääv,Götene MK,Beta,8:22.1  11:24.8  8:28.3  11:21.1  8:37.5  11:35.2  8:50.4  ,7,08:39.6
56,Motion 40-49,952,Christian Johansson,Tidaholms MK,KTM,8:16.3  11:19.3  8:36.2  11:37.1  8:38.4  11:45.8  8:45.1  ,7,08:58.4
57,Motion 40-49,928,Johan Debrianté,SMK Ljungby,TM,8:39.1  11:28.5  8:36.4  11:37.0  8:33.1  11:35.9  8:41.2  ,7,09:11.3
58,Motion -39,559,Jesper Herngren,Falköpings MK,Husqvarna,8:23.3  11:30.0  8:22.6  11:26.6  8:33.4  11:57.0  9:03.4  ,7,09:16.6
59,Motion 40-49,908,Martin Börjesson,FMCK Borås,KTM,8:33.5  11:29.6  8:29.5  11:32.8  8:45.4  11:41.3  8:46.5  ,7,09:18.9
60,Motion -39,549,Rasmus Levén,Bodafors MK,Kawasaki,8:40.2  11:30.5  8:24.9  11:38.0  8:29.5  12:08.5  8:28.4  ,7,09:20.4
61,Motion -39,560,John Larsson,Carlsborgs MK,KTM,8:13.3  11:14.7  8:28.7  12:26.1  8:40.1  11:45.3  8:32.8  ,7,09:21.3
62,Motion 40-49,979,Jimmy Ivarsson,SMK Trollhättan,Honda,8:12.3  11:13.8  8:44.2  11:40.6  8:55.5  11:55.3  9:03.2  ,7,09:45.2
63,Motion -39,541,Patric Gustafsson,Huskvarna MK,KTM,8:39.0  11:44.1  8:38.1  11:44.6  8:36.0  11:54.6  8:41.7  ,7,09:58.5
64,Motion -39,543,Axel Gustafsson,Lidköpings MCK,KTM,8:19.4  11:48.0  8:21.1  11:34.4  8:44.7  11:46.8  9:24.2  ,7,09:58.8
65,Motion 40-49,947,Magnus Enander,Ulricehamns MK,KTM,8:39.6  11:39.7  8:36.7  11:37.5  8:49.9  11:45.0  8:53.6  ,7,10:02.3
66,Motion -39,528,Hugo Lindström,FMCK Borås,KTM,8:41.3  11:39.9  8:42.5  11:49.1  9:01.8  11:43.7  8:37.0  ,7,10:15.7
67,Motion -39,786,Anton Persson,Tibro MK,Sherco,8:33.2  11:19.7  8:50.0  11:39.7  8:50.1  12:08.2  9:05.1  ,7,10:26.2
68,Motion 40-49,1020,Jonas Gustafsson,Götene MK,KTM,8:33.8  11:45.5  8:18.8  11:33.8  8:45.8  12:37.6  9:05.0  ,7,10:40.6
69,Motion -39,727,Andreas Almroth,Borås MK,KTM,8:20.4  11:26.8  8:55.1  12:09.0  9:08.0  11:51.2  8:51.5  ,7,10:42.4
70,Motion -39,523,Rasmus Bengt Olof Malmborg,Björkö EK,Yamaha,8:40.8  11:55.8  8:31.7  11:56.8  8:44.3  12:02.3  9:01.5  ,7,10:53.5
71,Motion -39,533,Jimmy Josefsson,Skene MS,Beta,8:32.8  11:39.1  8:42.9  12:05.5  8:51.2  11:51.7  9:11.9  ,7,10:55.3
72,Motion -39,500,Tommy Oldenburg,FMCK Skövde,KTM,8:35.7  11:49.0  8:44.8  11:53.3  8:49.6  12:01.0  9:03.7  ,7,10:57.4
73,Motion -39,562,Johan Hedström,Kinds MK,KTM,8:35.9  11:18.7  8:39.4  12:40.4  9:00.1  11:51.6  8:59.9  ,7,11:06.3
74,Motion 40-49,918,Andréas Svensson,Stenungsunds MS,KTM,8:11.3  11:22.9  8:22.4  11:32.7  10:25.3  11:55.7  9:30.2  ,7,11:20.8
75,Motion 40-49,913,Daniel Blomqvist,FMCK Skövde,TM,8:32.6  11:45.1  10:30.7  11:42.5  8:52.7  11:31.3  8:32.4  ,7,11:27.6
76,Motion -39,567,Victor Joensuu,MSK Hammaren,Sherco,9:23.2  12:04.5  8:47.8  11:44.1  8:57.3  11:47.2  8:45.0  ,7,11:29.4
77,Motion 40-49,943,Anton Gustavsson,Mariestads EK,KTM,8:26.4  11:47.9  8:59.4  12:07.7  8:59.3  12:15.3  9:00.1  ,7,11:36.4
78,Motion 40-49,973,Björn Runfeldt,Norrahammars MK,Yamaha,8:21.8  11:31.6  9:05.4  12:21.5  8:55.9  12:21.0  9:05.1  ,7,11:42.5
79,Motion -39,569,Christoffer Jonasson,SMC,KTM,8:31.0  11:52.4  8:49.5  12:18.4  9:10.5  12:10.3  8:53.7  ,7,11:46.0
80,Motion -39,544,Anton Isaksson,Götene MK,Husaberg,8:53.3  12:14.6  8:53.8  11:53.6  8:56.6  11:52.2  9:02.8  ,7,11:47.1
81,Motion 40-49,1025,Andreas Thell,Gotlands MF:s Motorcykelklubb,,8:39.3  11:56.0  8:51.7  12:11.0  9:13.0  12:01.1  9:01.6  ,7,11:53.9
82,Ungdom E1,145,Wilmer Jansson,Tidaholms MK,KTM,9:07.0  11:50.2  8:53.6  12:04.9  8:51.3  12:03.3  9:04.2  ,7,11:54.8
83,Motion 40-49,981,Patrick Wik,Skene MS,Sherco / Team VIXUS MC,8:33.8  11:33.8  8:44.5  12:15.3  9:07.0  12:33.5  9:21.5  ,7,12:09.7
84,Motion -39,545,Grim Fallenius,Götene MK,Beta,8:43.4  12:07.3  9:11.0  12:01.8  9:05.4  12:23.3  9:05.1  ,7,12:37.5
85,Motion -39,515,Gustav Strinne,Edsvära MCK,KTM,8:52.3  12:35.9  8:50.8  11:49.4  9:29.0  12:19.9  8:53.3  ,7,12:50.9
86,Motion 40-49,988,Martin Bonander,Stenungsunds MS,KTM,8:51.0  12:11.7  9:07.4  12:21.7  9:10.7  12:08.4  9:09.0  ,7,13:00.2
87,Motion 40-49,937,Henrik Olsson,Falköpings MK,Sherco,8:52.1  12:21.3  8:55.1  12:12.9  8:55.5  12:43.2  9:03.4  ,7,13:03.7
88,Motion -39,556,Tommy Gustafsson,Huskvarna MK,Husqvarna,8:35.5  12:08.6  9:19.4  12:17.2  9:10.1  12:27.7  9:09.1  ,7,13:07.9
89,Motion 40-49,950,Johan Elfving,Ulricehamns MK,KTM,8:36.2  11:34.0  8:55.5  12:21.1  9:45.4  12:33.3  9:23.8  ,7,13:09.4
90,Motion 40-49,904,Henrik Lindström,FMCK Borås,KTM,8:44.4  12:12.3  9:19.4  12:21.9  9:12.0  12:17.2  9:12.9  ,7,13:20.5
91,Motion -39,504,Christer Strand,Tibro MK,GasGas,8:43.4  11:47.3  9:01.8  12:23.4  9:07.7  12:54.4  9:29.7  ,7,13:28.0
92,Ungdom E1,181,Emil Gabrielsson,Skene MS,Yamaha,8:49.5  12:18.7  9:01.2  12:09.3  9:14.8  12:22.2  9:42.7  ,7,13:38.7
93,Motion 40-49,932,Niklas Utterberg,Norrahammars MK,KTM,9:10.8  12:04.4  9:05.3  12:17.2  9:14.4  12:28.1  9:29.1  ,7,13:49.7
94,Motion 40-49,990,Johan Kjellson,FMCK Skövde,KTM,8:59.0  12:04.9  9:11.6  12:24.3  9:25.2  12:17.5  9:36.7  ,7,13:59.5
95,Motion 40-49,907,Jonas Milefors,Kortedala MK,Husqvarna,9:03.5  12:04.1  9:05.7  12:20.2  9:17.2  12:49.0  9:31.4  ,7,14:11.4
96,Motion -39,565,Erik Wallskog,Töreboda MK,KTM,8:36.6  12:07.1  9:22.2  12:52.9  9:28.1  12:26.4  9:22.0  ,7,14:15.5
97,Ungdom E1,103,Lisa Nyqvist,Stenungsunds MS,KTM / Speedequipment MX Team,9:04.9  12:24.0  9:14.9  12:27.2  9:10.3  12:43.2  9:27.9  ,7,14:32.8
98,Motion -39,517,Simon Gustafsson,Älvbygdens MK,Husqvarna,8:58.5  12:28.5  9:24.5  12:28.1  9:27.3  12:15.5  9:36.0  ,7,14:38.7
99,Motion -39,669,Albin Johansson,Lidköpings MCK,Yamaha,9:52.9  12:41.1  9:12.2  12:22.8  9:12.4  12:14.7  9:12.6  ,7,14:48.9
100,Motion 40-49,919,Robert Ahlin,Falköpings MK,KTM,9:02.7  12:32.6  9:07.9  12:37.4  9:29.2  12:50.8  9:37.2  ,7,15:18.2
101,Motion -39,652,Filip Johansson,Tidaholms MK,KTM,9:01.8  12:35.0  9:16.5  12:39.2  9:24.2  13:12.4  9:30.5  ,7,15:39.9
102,Motion -39,762,Markus Göransson,Lilla Edets MCK,GasGas,9:12.3  12:34.2  9:21.9  12:47.7  9:32.3  13:01.6  9:24.9  ,7,15:55.3
103,Ungdom E1,126,Marwin Wik,Skene MS,Sherco / Team VIXUS MC,9:40.8  12:33.3  9:31.9  12:18.7  9:33.4  12:52.3  9:28.6  ,7,15:59.
104,Ungdom E1,111,Anton Andersson,Norrahammars MK,Beta,9:01.1  13:04.2  9:05.2  12:25.0  9:55.3  12:59.0  9:29.6  ,7,15:59.8
105,Motion -39,502,Johan Svensson,Falköpings MK,Yamaha,8:57.3  12:58.3  9:20.1  13:05.4  9:45.3  12:41.5  9:25.4  ,7,16:13.5
106,Ungdom E1,199,William Blom,Skene MS,Yamaha,9:03.4  12:17.2  9:24.0  12:58.4  9:48.9  13:01.1  9:50.0  ,7,16:23.3
107,Motion 40-49,963,Ronny Larsen,Flittig Enduro,Husqvarna,9:16.1  12:21.5  9:29.4  12:46.6  9:48.6  12:53.8  9:52.1  ,7,16:28.4
108,Motion -39,511,Oliver Wennerholm,FMCK Borås,KTM,8:58.4  12:17.4  9:17.1  13:42.2  9:36.2  13:07.9  9:32.4  ,7,16:31.8
109,Motion 40-49,915,Martin Jonsson,Töreboda MK,GasGas,8:52.5  12:32.2  9:16.1  13:18.4  9:37.6  13:15.3  9:49.4  ,7,16:41.7
110,Motion -39,586,Johan Lidén,Eda MK,Sherco / Team MC-Center Karlstad,9:28.2  12:40.5  9:32.6  12:34.9  9:47.0  13:05.6  9:34.8  ,7,16:43.9
111,Motion -39,538,Rasmus Hansson,Skene MS,KTM,8:57.8  11:53.1  9:06.5  14:37.0  9:15.9  12:50.2  10:10.8  ,7,16:51.6
112,Motion -39,558,Albin Strandhag,FMCK Skövde,,9:04.1  12:55.7  9:31.8  12:57.2  9:46.4  12:53.1  9:50.9  ,7,16:59.5
113,Motion -39,612,Christian Kurist,Falköpings MK,KTM,8:55.0  12:49.2  9:33.7  12:55.0  9:45.1  13:04.6  10:05.2  ,7,17:08.2
114,Motion 40-49,936,Per Karlsson,SMK Vadstena,Sherco,9:15.0  12:40.4  9:30.4  13:19.7  9:48.3  12:51.8  9:55.6  ,7,17:21.5
115,Motion 40-49,926,Mark Edvardsson,Alingsås MCK,KTM,9:32.9  12:43.6  9:35.0  12:52.5  9:47.6  13:07.0  10:01.7  ,7,17:40.5
116,Motion 40-49,930,Jonas Lyttbacka,Örebro EK,Husqvarna,9:13.6  12:21.4  9:32.5  12:35.7  9:44.5  13:41.9  10:32.9  ,7,17:42.9
117,Motion -39,529,Jacob Emilsson,Kristdala Motorsällskap,Sherco / Ostkustmx Racing Team,8:59.8  11:52.8  8:55.5  16:17.9  9:34.2  12:32.3  9:49.2  ,7,18:02.0
118,Motion 40-49,982,Cristoffer Matlak,Alingsås MCK,KTM,9:35.1  12:46.2  9:35.9  12:56.1  9:43.8  13:01.1  10:38.6  ,7,18:17.1
119,Motion 40-49,984,Robban Markusson,SMK Vadstena,Suzuki,9:49.4  13:23.6  9:55.9  13:14.2  9:41.6  12:49.5  10:00.6  ,7,18:55.1
120,Motion 40-49,906,Anders Billestedt Andersson,Stenungsunds MS,KTM,9:33.1  12:56.1  9:47.0  13:10.5  10:12.5  13:34.2  10:40.9  ,7,19:54.8
121,Motion -39,534,Richard Mickelsson,Tibro MK,KTM,9:40.7  13:03.8  9:50.3  13:13.9  9:43.2  14:25.0  9:59.2  ,7,19:56.5
122,Ungdom E1,122,Tuva Sahlin Palmstedt,Lidköpings MCK,KTM,10:10.9  13:17.8  9:44.6  12:58.2  9:39.5  14:15.9  9:54.9  ,7,20:02.2
123,Motion 40-49,980,Niclas Sjökvist,FMCK Borås,KTM,9:53.0  13:20.2  9:52.3  13:33.1  10:21.5  13:29.9  10:04.1  ,7,20:34.4
124,Motion 40-49,971,Christian Larsson,Skene MS,KTM,9:16.3  12:59.5  9:45.0  13:32.1  10:05.2  14:07.9  11:05.1  ,7,20:51.4
125,Motion 40-49,974,Ulric Karlsson,Tidaholms MK,Husqvarna,9:37.4  12:52.5  9:38.1  13:06.9  10:06.1  13:50.0  11:42.4  ,7,20:53.7
126,Motion -39,548,Erik Elowson,FMCK Skövde,,25:47.4  10:34.5  7:58.1  10:50.8  8:00.2  10:40.4  8:01.9  ,7,21:53.5
127,Motion -39,594,Anton Torgin,Donkelo RK,Honda,10:13.4  13:24.4  10:26.6  13:42.2  10:34.3  13:50.1  10:29.1  ,7,22:40.3
128,Motion 40-49,999,Johan Törnqvist,FMCK Skövde,KTM,10:24.5  13:35.7  10:09.7  14:08.8  10:28.0  14:07.7  10:47.7  ,7,23:42.4
129,Ungdom E1,124,Sam Aronsson,Töreboda MK,KTM,10:30.6  14:13.7  10:34.6  14:50.1  10:59.9  14:56.1  12:12.5  ,7,28:17.9
130,Motion -39,590,Tobias Hagelin,FMCK Borås,KTM,10:24.4  13:34.3  11:20.6  15:17.2  11:21.5  15:47.4  11:21.8  ,7,29:07.6
131,Motion 40-49,983,Magnus Lilja,Älvbygdens MK,KTM,10:48.4  15:17.8  11:00.3  15:18.8  11:28.8  15:09.0  11:16.9  ,7,30:20.2
132,Motion -39,726,Samuel Thorsell,Göta MS,Honda,8:23.0  11:39.0  8:54.8  11:47.2  8:44.8  11:25.7  ,6,00:54.8
133,Motion -39,503,Rickard Forsberg,Mariestads EK,Husqvarna,11:07.6  14:56.2  11:39.6  15:36.2  12:31.1  16:54.9  ,6,22:45.7
134,Motion -39,540,Ronnie Nilsson,Töreboda MK,KTM,8:38.8  11:42.0  8:45.5  11:49.4  8:44.3  ,5,49:40.2
135,Motion -39,563,Axel Virgin Ericsson,Götene MK,Husqvarna,12:59.4  14:43.0  10:49.0  15:15.8  12:45.6  ,5,06:33.0
136,Motion 40-49,902,Andreas Sandberg,FMCK Borås,KTM,11:26.5  15:58.3  12:28.5  16:58.7  13:06.0  ,5,09:58.1
137,Motion -39,638,Daniel Helmersson,Töreboda MK,,9:42.8  15:14.8  10:07.7  14:28.5  ,4,49:34.0
138,Motion -39,575,David Reker Andersson,Falköpings MK,Beta,11:05.3  14:55.3  12:59.8  15:49.3  ,4,54:49.9
139,Motion -39,690,Alfred Hjerp,Tidaholms MK,KTM,8:04.9  11:04.4  8:17.8  ,3,27:27.1
